"stock_code","stock_name","stock_price","stock_type","scrape_date"
"3008","大立光",5555,"上市",2017-11-22
"6415","矽力-KY",608,"上市",2017-11-22
"6409","旭隼",522,"上市",2017-11-22
"1590","亞德客-KY",511,"上市",2017-11-22
"6414","樺漢",466,"上市",2017-11-22
"6452","康友-KY",428.5,"上市",2017-11-22
"4943","康控-KY",409,"上市",2017-11-22
"2059","川湖",405.5,"上市",2017-11-22
"2723","美食-KY",377,"上市",2017-11-22
"5269","祥碩",365,"上市",2017-11-22
"3406","玉晶光",358.5,"上市",2017-11-22
"2207","和泰車",351,"上市",2017-11-22
"2474","可成",346.5,"上市",2017-11-22
"2454","聯發科",327,"上市",2017-11-22
"2049","上銀",324.5,"上市",2017-11-22
"2231","為升",315,"上市",2017-11-22
"2327","國巨",298.5,"上市",2017-11-22
"8464","億豐",290,"上市",2017-11-22
"2912","統一超",288.5,"上市",2017-11-22
"1476","儒鴻",284.5,"上市",2017-11-22
"3443","創意",283,"上市",2017-11-22
"2357","華碩",271.5,"上市",2017-11-22
"3665","貿聯-KY",268.5,"上市",2017-11-22
"2227","裕日車",254.5,"上市",2017-11-22
"6456","GIS-KY",253,"上市",2017-11-22
"2330","台積電",242,"上市",2017-11-22
"8341","日友",238,"上市",2017-11-22
"3413","京鼎",232.5,"上市",2017-11-22
"2439","美律",221,"上市",2017-11-22
"2395","研華",207,"上市",2017-11-22
"8454","富邦媒",205.5,"上市",2017-11-22
"4912","聯德控股-KY",185.5,"上市",2017-11-22
"1707","葡萄王",183.5,"上市",2017-11-22
"3533","嘉澤",180.5,"上市",2017-11-22
"8422","可寧衛",173.5,"上市",2017-11-22
"6504","南六",170,"上市",2017-11-22
"2360","致茂",169.5,"上市",2017-11-22
"4763","材料-KY",169.5,"上市",2017-11-22
"4551","智伸科",161,"上市",2017-11-22
"2496","卓越",157,"上市",2017-11-22
"3130","一零四",156,"上市",2017-11-22
"2707","晶華",151.5,"上市",2017-11-22
"9921","巨大",149,"上市",2017-11-22
"2239","英利-KY",146,"上市",2017-11-22
"1475","本盟",146,"上市",2017-11-22
"1537","廣隆",146,"上市",2017-11-22
"1256","鮮活果汁-KY",145,"上市",2017-11-22
"8070","長華",144.5,"上市",2017-11-22
"4438","廣越",144,"上市",2017-11-22
"6271","同欣電",140.5,"上市",2017-11-22
"2308","台達電",140,"上市",2017-11-22
"6451","訊芯-KY",136.5,"上市",2017-11-22
"8114","振樺電",136.5,"上市",2017-11-22
"2727","王品",136,"上市",2017-11-22
"4137","麗豐-KY",136,"上市",2017-11-22
"9910","豐泰",132.5,"上市",2017-11-22
"1536","和大",130,"上市",2017-11-22
"8480","泰昇-KY",128.5,"上市",2017-11-22
"1558","伸興",128,"上市",2017-11-22
"1723","中碳",124,"上市",2017-11-22
"6269","台郡",124,"上市",2017-11-22
"9914","美利達",123.5,"上市",2017-11-22
"2228","劍麟",123,"上市",2017-11-22
"3019","亞光",122.5,"上市",2017-11-22
"1477","聚陽",122.5,"上市",2017-11-22
"4739","康普",121,"上市",2017-11-22
"9938","百和",120.5,"上市",2017-11-22
"3450","聯鈞",119.5,"上市",2017-11-22
"3034","聯詠",118,"上市",2017-11-22
"5264","鎧勝-KY",118,"上市",2017-11-22
"9941","裕融",117,"上市",2017-11-22
"2383","台光電",116.5,"上市",2017-11-22
"1338","廣華-KY",116.5,"上市",2017-11-22
"6464","台數科",116,"上市",2017-11-22
"4148","全宇生技-KY",116,"上市",2017-11-22
"2379","瑞昱",115.5,"上市",2017-11-22
"4977","眾達-KY",115,"上市",2017-11-22
"3532","台勝科",114,"上市",2017-11-22
"2929","淘帝-KY",110.5,"上市",2017-11-22
"4968","立積",109,"上市",2017-11-22
"3045","台灣大",108.5,"上市",2017-11-22
"6505","台塑化",108,"上市",2017-11-22
"2456","奇力新",105.5,"上市",2017-11-22
"3617","碩天",105,"上市",2017-11-22
"2345","智邦",105,"上市",2017-11-22
"1525","江申",105,"上市",2017-11-22
"2317","鴻海",104,"上市",2017-11-22
"2412","中華電",103.5,"上市",2017-11-22
"6533","晶心科",102,"上市",2017-11-22
"4552","力達-KY",101,"上市",2017-11-22
"3044","健鼎",99.8,"上市",2017-11-22
"3454","晶睿",97,"上市",2017-11-22
"2731","雄獅",96,"上市",2017-11-22
"9942","茂順",95,"上市",2017-11-22
"6230","超眾",94.8,"上市",2017-11-22
"1326","台化",94.5,"上市",2017-11-22
"5288","豐祥-KY",93.8,"上市",2017-11-22
"4536","拓凱",93.5,"上市",2017-11-22
"6239","力成",93.4,"上市",2017-11-22
"2351","順德",93.1,"上市",2017-11-22
